Time,S_P500,GDP_growth,GCE,GDS,GDPP,SMT,TRADE,RIR,BCP,Turnover_Ratio,Broad_money
1960,58.03,NA,NA,NA,70.87483112,NA,NA,NA,38.92729615,NA,60.04767164
1961,59.72,2.3,NA,NA,75.08011696,NA,NA,3.107884875,40.72288301,NA,62.66163678
1962,69.07,6.1,NA,NA,75.55093829,NA,NA,3.215345976,42.35828789,NA,63.54437283
1963,65.06,4.4,NA,NA,80.29437955,NA,NA,3.374882242,45.37253367,NA,65.82085813
1964,76.45,5.8,NA,NA,83.14270949,NA,NA,2.951669,47.16258384,NA,66.82633421
1965,86.12,6.4,NA,NA,86.13702154,NA,NA,2.565913126,49.06037381,NA,66.93653355
1966,93.32,6.5,NA,NA,83.50616802,NA,NA,2.649420629,48.22846626,NA,63.96355828
1967,84.45,2.5,NA,NA,87.01833295,NA,NA,2.406227032,48.89184171,NA,66.71463386
1968,95.04,4.8,NA,NA,87.85058724,NA,NA,1.863911247,49.16222812,NA,66.35002653
1969,102,3.1,NA,NA,86.75950943,NA,NA,2.851773364,49.60770664,NA,61.90234337
1970,90.31,-0.254079593,17.96184302,21.78257212,87.67668434,NA,10.7582854,2.280321199,49.63873203,NA,65.40166197
1971,93.49,3.293362378,17.9387904,21.97304374,91.11707885,NA,10.75717904,0.622615404,50.74318582,NA,68.67133107
1972,103.3,5.258895358,17.62928912,22.31700167,95.79130338,NA,11.34061965,0.887217688,53.8905958,NA,71.03611105
1973,118.4,5.64571947,16.77627517,23.62015356,94.83886997,NA,13.07928575,2.409732336,56.48537649,NA,70.23353838
1974,96.11,-0.540546529,17.1626728,22.64219932,92.28667856,NA,16.44498632,1.651069705,57.35855137,NA,69.87153477
1975,72.56,-0.205464012,17.61079563,21.22566033,90.47470672,NA,15.51637363,-1.281427033,54.1266446,NA,70.60224203
1976,96.86,5.388139227,16.7879783,21.95133799,89.88468586,NA,16.04884564,1.266891593,53.75998446,NA,69.98012183
1977,103.8,4.624159207,16.38796902,22.41695512,90.17645152,NA,16.41789468,0.575074758,55.66118398,NA,70.55320666
1978,90.25,5.535302693,15.76671873,23.75307185,91.63124374,NA,16.97283423,1.889901103,56.63363524,NA,69.49922159
1979,99.71,3.166150271,15.4036373,24.25306413,92.94549691,NA,18.37619427,4.034513098,56.61918127,NA,68.29672208
1980,110.9,-0.256751931,15.87683788,22.85333708,94.35486599,NA,20.10984469,5.716428328,55.07311605,NA,69.50639186
1981,133,2.537718698,15.81023884,23.88649728,89.23797984,NA,19.42590711,8.594585291,52.26052543,NA,69.39765678
1982,117.3,-1.802874453,16.58385143,21.47273647,92.61092632,NA,17.53681228,8.17739544,51.33392089,NA,73.23697757
1983,144.3,4.583927316,16.38378575,20.83192306,96.1092728,NA,16.66559348,6.61817445,51.63173858,NA,72.96137245
1984,166.4,7.236619994,15.72037736,22.55156698,96.79606787,27.4523809,17.52243219,8.141074844,53.51919562,69.18292228,73.89905868
1985,171.6,4.169655954,15.91710861,21.56057911,103.684613,33.85088981,16.60390613,6.563326293,55.05083108,63.83631949,74.46922421
1986,208.2,3.462651713,16.11459526,20.86115672,110.1617105,47.63963516,16.89797715,6.193866159,56.72201538,85.96411297,77.17093364
1987,264.5,3.459572555,16.00120695,20.63848872,112.619055,59.255137,17.97358098,5.59256508,56.85834716,113.6346079,75.74927166
1988,250.5,4.177046384,15.66816985,20.738735,113.6908621,37.52744709,19.07010071,5.590367092,57.3356927,70.68861217,75.00419178
1989,285.4,3.672656329,15.62379688,20.97628678,117.5399525,41.50558886,19.41512839,6.690695342,56.12144116,69.23149838,73.31970831
1990,339.97,1.885960323,15.90077315,20.223627,114.7914257,34.07760068,19.81505058,6.039744377,52.71980687,65.69032586,71.223519
1991,325.49,-0.108259105,16.31756983,19.6459509,119.1776729,34.74825227,19.78644812,4.91535245,49.0864839,51.44352027,70.00324287
1992,416.08,3.522442494,16.07868746,19.54480197,118.2431638,38.80862417,19.9505945,3.884240016,45.64234278,55.66511301,66.01336099
1993,435.23,2.752844327,15.64526893,19.44336996,120.9945322,50.07483788,20.0446187,3.546688729,44.36577713,65.40392723,63.1321973
1994,472.99,4.028839064,15.20605343,20.00991871,120.1830353,50.07034341,21.05545916,4.898356137,44.4738444,71.01846706,59.65884733
1995,465.25,2.684287132,14.94477109,20.09772834,130.1685995,67.78535263,22.45338165,6.5940689,45.83545873,74.49095846,60.8150739
1996,614.42,3.772501319,14.52832002,20.50802651,137.6657111,86.28007851,22.68707199,6.324007949,46.26965875,82.13546918,62.0770874
1997,766.22,4.447216343,14.22932382,21.22092574,146.5798201,108.0208367,23.42832108,6.603407039,46.5805961,86.02992644,63.10258971
1998,963.36,4.481407555,13.98689647,21.16297785,157.8046359,135.7771558,22.82589093,7.148191874,47.25184706,95.22275583,65.45841329
1999,1248.77,4.753235989,14.03725612,20.76392822,171.6233134,195.373074,23.27347266,6.457134913,47.30806624,127.3278164,67.45598085
2000,1425.59,4.127484014,14.02601,20.01695584,162.5981392,290.4900718,25.04363522,6.844844184,48.96822895,197.1309012,68.50483165
2001,1335.63,0.998340795,14.52861414,18.69994138,170.851172,197.3533555,22.84295783,4.626756867,50.15307236,149.3426659,71.63700758
2002,1140.21,1.74169525,15.04186143,17.81837404,162.2957763,155.9272849,22.15427178,3.045071183,50.27863127,154.262692,72.40028643
2003,895.84,2.861210767,15.2465423,17.35125294,177.3723459,140.030912,22.47710057,2.224101122,51.45500884,112.4686992,72.14616146
2004,1132.52,3.798891127,15.16888067,17.58988693,184.8579609,156.406971,24.35240674,1.604588938,53.34903058,117.0267341,71.56995008
2005,1181.41,3.513213797,15.05529773,17.84828904,188.6700689,197.8438558,25.55599404,2.981356779,55.26913595,151.71106,72.46571134
2006,1278.73,2.854972292,15.00831936,17.95870575,198.2978481,221.3726907,26.90014861,4.786447647,57.15619179,156.2768664,74.5413607
2007,1424.16,1.876171458,15.2147973,17.62131579,206.6707388,296.5194743,27.95580207,5.22340589,59.46942352,215.0987522,79.60088598
2008,1378.76,-0.136579805,15.98871018,16.20433867,185.843026,321.1173552,29.88679806,3.082411291,59.77783465,407.6304011,84.58089913
2009,865.58,-2.536757066,16.82202413,15.06078007,187.8618944,237.4319313,24.64156346,2.468828896,54.0127293,227.536848,90.87354741
2010,1123.58,2.563766559,16.7431575,15.31527249,182.6139874,240.2965011,28.05795228,2.060736709,52.4728172,208.438562,85.17091624
2011,1282.62,1.550835506,16.16046899,15.37529763,175.1181701,264.0844975,30.78929406,1.13733832,50.81416287,262.4276966,87.64475752
2012,1300.58,2.249545852,15.53360411,16.51053983,175.677368,199.7249519,30.56818394,1.307083113,50.07540796,173.2852353,88.22604392
2013,1480.4,1.842081071,15.08506851,17.48977996,184.6709773,198.0789525,30.01300722,1.469299287,49.36273141,138.3293367,88.96825235
2014,1822.36,2.451973035,14.64133724,17.88392229,184.8949829,222.4472686,29.96885036,1.332891842,49.81102853,148.0280076,89.63996279
2015,2028.18,2.880910466,14.35974679,18.21569448,179.7166263,227.2233701,27.73677183,2.167480568,51.04832833,165.1478471,88.91752348
2016,1918.6,1.56721517,14.28019522,17.57229464,182.7309757,224.8939256,26.5140006,2.391984287,52.35505132,94.7188501,89.93207127
2017,2275.12,2.21701033,14.15015791,17.53169517,190.9488236,204.1831008,27.14232024,2.154928728,52.50344056,116.0784691,90.48639863
2018,2789.8,2.927322728,14.14733812,17.6631131,180.0004713,160.8805424,27.56442323,2.485817106,52.14922092,108.5126363,89.34782996
2019,2607.39,2.333577492,NA,NA,192.3341463,108.5042303,26.38872679,3.478199834,52.08587816,NA,93.01430882
