full_name,S&P500,S&P500(change%),Real Interest Rate,Final consumption expenditure (current US$/billion),GDP (current US$/billion),GDP deflator (base year varies by country),"Inflation, GDP deflator (annual %)",Real GDP,GDP adjusted inflation,The percentage growth rate of GDP adjusted inflation,The percentage growth rate of GDP,GDP_growth_per_capita(%),the ratio of the domestic credit to private sector by banks to GDP,the ratio of government final consumption expenditure,Real government final expenditure,General government final consumption expenditure (annual % growth),the ratio of domestic savings to GDP,Real Total Savings,the percentage growth rate of real total savings,the ratio of the private sector's domestic credit to GDP,the total amount of private sector's domestic credit,the percentage growth rate of private sector's domestic credit,the ratio of trade to GDP,Total amount of TRADE,the percentage growth rate of total TRADE,Broad_money,total amount of the broad money,the percentage growth rate of the broad money,Population_total(million),"population(15-64,milion)",the percntage growth rate of total population,Unemployment(%),the number of working people(million),the percentage growth rate of working people,R&D(total/billion$),R&D_change(%),the number of the issued patents during the year,the percentage growth rate of the number of the issued patents,Gross capital formation (annual % growth),Gross fixed capital formation (annual % growth),dummy
Time,S&P500,S&P500(G%),RIR(%),FCE,GDP,GDPDEF,INF,RGDP,GDPIF,GDPIF(G%),GDP(G%),GDP(G%P),BCP(%),GCE(%),RGFI,RGFI(G%),GDS(%),RTS,ST(G%),GDPP(%),PSDC,PSDC(G%),TRADE(%),TRADE(T),TRADE(G%),BM(%),BM(T),BM(G%),POP(TM),POP(1564M),POP(G%),UNE(%),WP(M),WP(G%),R&D(T),R&D(G%),ISS,ISS(G%),GCF(G%),GFCF(G%),dummy
1960,58.03,NA,NA,NA,5.43E+02,15.71508388,NA,3.46E+03,5.43E+02,NA,NA,NA,38.92729615,NA,NA,NA,NA,NA,NA,70.87483112,2.45E+03,NA,NA,NA,NA,60.04767164,2.07E+03,NA,180.671,108.751648,NA,6.6,101.5740392,NA,NA,NA,47170,NA,NA,NA,0
1961,59.72,2.912286748,3.107884875,NA,5.63E+02,15.9272617,1.350153896,3534.8198,555.4998965,2.30E+00,2.3,0.618121193,40.72288301,NA,NA,NA,NA,NA,NA,75.08011696,2.65E+03,8.37E+00,NA,NA,NA,62.66163678,2.21E+03,6.76E+00,183.691,110.226924,1.671546623,6,103.6133086,2.00766792,NA,NA,48368,2.539749841,NA,NA,0
1962,69.07,15.65639652,3.215345976,NA,6.05E+02,16.12549793,1.244634712,3751.822132,597.5625293,7.57E+00,6.1,4.480669354,42.35828789,NA,NA,NA,NA,NA,NA,75.55093829,2.83E+03,8.25E+00,NA,NA,NA,63.54437283,2.38E+03,7.63E+00,186.538,111.905684,1.549885405,5.5,105.7508714,2.063019538,NA,NA,55691,15.14017532,NA,NA,0
1963,65.06,-5.805704358,3.374882242,NA,6.39E+02,16.30100559,1.088386011,3920.003564,632.1200933,5.78E+00,4.4,2.908271948,45.37253367,NA,NA,NA,NA,NA,NA,80.29437955,3.15E+03,1.24E+01,NA,NA,NA,65.82085813,2.58E+03,8.23E+00,189.242,113.731994,1.449570597,5.5,107.4767343,1.632008207,NA,NA,45675,-17.98495269,NA,NA,0
1964,76.45,17.50691669,2.951669,NA,6.86E+02,16.54616288,1.503939679,4145.976351,675.8358367,6.92E+00,5.8,4.340548963,47.16258384,NA,NA,NA,NA,NA,NA,83.14270949,3.45E+03,1.07E+01,NA,NA,NA,66.82633421,2.77E+03,7.38E+00,191.889,115.648528,1.398738124,5,109.8661016,2.223148401,NA,NA,47373,3.717569787,NA,NA,0
1965,86.12,12.64879006,2.565913126,NA,7.44E+02,16.86382039,1.919825811,4411.811695,729.985549,8.01E+00,6.4,5.07809761,49.06037381,NA,NA,NA,NA,NA,NA,86.13702154,3.80E+03,1.19E+01,NA,NA,NA,66.93653355,2.95E+03,6.59E+00,194.303,117.498168,1.258018959,4,112.7982413,2.668830201,NA,NA,62853,32.67684124,NA,NA,0
1966,93.32,8.360427311,2.649420629,NA,8.15E+02,17.35266519,2.898778535,4696.684867,792.0405,8.50E+00,6.5,5.277113858,48.22846626,NA,NA,NA,NA,NA,NA,83.50616802,3.92E+03,5.19E+00,NA,NA,NA,63.96355828,3.00E+03,1.73E+00,196.56,119.261689,1.161587829,3.8,114.7297448,1.712352496,NA,NA,68395,8.817399329,NA,NA,0
1967,84.45,-9.504929276,2.406227032,NA,8.62E+02,17.89949615,3.151279366,4815.778013,835.665835,5.51E+00,2.5,1.389951286,48.89184171,NA,NA,NA,NA,NA,NA,87.01833295,4.19E+03,9.95E+00,NA,NA,NA,66.71463386,3.21E+03,6.95E+00,198.712,121.032978,1.094831095,3.8,116.4337248,1.485212055,NA,NA,65634,-4.036844799,NA,NA,0
1968,95.04,12.53996448,1.863911247,NA,9.43E+02,18.68120084,4.367188241,5047.855371,903.5406778,8.12E+00,4.8,3.758819368,49.16222812,NA,NA,NA,NA,NA,NA,87.85058724,4.43E+03,9.16E+00,NA,NA,NA,66.35002653,3.35E+03,4.25E+00,200.706,122.787231,1.003462297,3.4,118.6124651,1.871227863,NA,NA,59073,-9.996343359,NA,NA,0
